Date : 2025-03-07 17:33:41
Directory : d:\Luann_Project\luann
Total : 205 files,  41055 codes, 3679 comments, 5990 blanks, all 50724 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Python       |        197 |     25,643 |      3,568 |      5,958 |     35,169 |
| JSON         |          2 |     15,237 |          0 |          0 |     15,237 |
| JavaScript   |          1 |         96 |        100 |         13 |        209 |
| Shell Script |          2 |         40 |         11 |         12 |         63 |
| HTML         |          1 |         36 |          0 |          4 |         40 |
| Markdown     |          1 |          2 |          0 |          2 |          4 |
| CSS          |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        205 |     41,055 |      3,679 |      5,990 |     50,724 |
| . (Files)                                                                                  |         20 |     18,874 |        667 |        819 |     20,360 |
| cli                                                                                        |          3 |        316 |        119 |         90 |        525 |
| client                                                                                     |          4 |      3,052 |        142 |        675 |      3,869 |
| data_sources                                                                               |          2 |        203 |         10 |         53 |        266 |
| functions                                                                                  |          8 |      1,120 |        192 |        258 |      1,570 |
| functions (Files)                                                                          |          4 |        730 |        165 |        151 |      1,046 |
| functions\function_sets                                                                    |          4 |        390 |         27 |        107 |        524 |
| helpers                                                                                    |          2 |        107 |          8 |         27 |        142 |
| humans                                                                                     |          1 |          0 |          0 |          1 |          1 |
| llm_api                                                                                    |          6 |      1,006 |        252 |        247 |      1,505 |
| local_llm                                                                                  |         36 |      4,123 |        588 |        823 |      5,534 |
| local_llm (Files)                                                                          |          7 |        634 |         96 |        142 |        872 |
| local_llm\grammars                                                                         |          2 |      1,058 |         50 |        217 |      1,325 |
| local_llm\groq                                                                             |          1 |         56 |         29 |         13 |         98 |
| local_llm\koboldcpp                                                                        |          2 |         57 |         16 |         14 |         87 |
| local_llm\llamacpp                                                                         |          2 |         54 |         14 |         14 |         82 |
| local_llm\llm_chat_completion_wrappers                                                     |          9 |      1,836 |        265 |        331 |      2,432 |
| local_llm\lmstudio                                                                         |          2 |         83 |         29 |         19 |        131 |
| local_llm\ollama                                                                           |          2 |         77 |         30 |         16 |        123 |
| local_llm\settings                                                                         |          4 |        108 |         28 |         15 |        151 |
| local_llm\vllm                                                                             |          1 |         44 |          6 |         14 |         64 |
| local_llm\webui                                                                            |          4 |        116 |         25 |         28 |        169 |
| openai_backcompat                                                                          |          2 |        343 |         37 |         67 |        447 |
| orm                                                                                        |         27 |      1,434 |        158 |        416 |      2,008 |
| personas                                                                                   |          1 |          0 |          0 |          1 |          1 |
| prompts                                                                                    |          3 |         32 |          4 |          7 |         43 |
| schemas                                                                                    |         33 |      3,104 |        469 |        887 |      4,460 |
| schemas (Files)                                                                            |         28 |      2,736 |        432 |        736 |      3,904 |
| schemas\openai                                                                             |          5 |        368 |         37 |        151 |        556 |
| server                                                                                     |         40 |      4,367 |        742 |      1,060 |      6,169 |
| server (Files)                                                                             |          6 |      1,033 |        205 |        253 |      1,491 |
| server\rest_api                                                                            |         26 |      2,854 |        407 |        689 |      3,950 |
| server\rest_api (Files)                                                                    |          8 |      1,275 |        342 |        330 |      1,947 |
| server\rest_api\auth                                                                       |          2 |         30 |          0 |         15 |         45 |
| server\rest_api\routers                                                                    |         16 |      1,549 |         65 |        344 |      1,958 |
| server\rest_api\routers\openai                                                             |          2 |        122 |         13 |         28 |        163 |
| server\rest_api\routers\openai\chat_completions                                            |          2 |        122 |         13 |         28 |        163 |
| server\rest_api\routers\v1                                                                 |         14 |      1,427 |         52 |        316 |      1,795 |
| server\static_files                                                                        |          3 |        133 |        100 |         18 |        251 |
| server\static_files (Files)                                                                |          1 |         36 |          0 |          4 |         40 |
| server\static_files\assets                                                                 |          2 |         97 |        100 |         14 |        211 |
| server\ws_api                                                                              |          5 |        347 |         30 |        100 |        477 |
| services                                                                                   |         17 |      2,974 |        291 |        559 |      3,824 |
| services (Files)                                                                           |         15 |      2,765 |        269 |        512 |      3,546 |
| services\helpers                                                                           |          2 |        209 |         22 |         47 |        278 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                   | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\Luann_Project\luann\__init__.py                                                         | Python       |          1 |          0 |          0 |          1 |
| d:\Luann_Project\luann\__main__.py                                                         | Python       |          2 |          0 |          2 |          4 |
| d:\Luann_Project\luann\agent.py                                                            | Python       |        850 |        172 |        142 |      1,164 |
| d:\Luann_Project\luann\chat_only_agent.py                                                  | Python       |         89 |          0 |         13 |        102 |
| d:\Luann_Project\luann\cli\cli.py                                                          | Python       |         96 |          3 |         25 |        124 |
| d:\Luann_Project\luann\cli\cli_config.py                                                   | Python       |        173 |        111 |         48 |        332 |
| d:\Luann_Project\luann\cli\cli_load.py                                                     | Python       |         47 |          5 |         17 |         69 |
| d:\Luann_Project\luann\client\__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| d:\Luann_Project\luann\client\client.py                                                    | Python       |      2,920 |        131 |        649 |      3,700 |
| d:\Luann_Project\luann\client\streaming.py                                                 | Python       |         66 |         10 |         13 |         89 |
| d:\Luann_Project\luann\client\utils.py                                                     | Python       |         66 |          1 |         12 |         79 |
| d:\Luann_Project\luann\config.py                                                           | Python       |        126 |        135 |         50 |        311 |
| d:\Luann_Project\luann\constants.py                                                        | Python       |        107 |         62 |         22 |        191 |
| d:\Luann_Project\luann\data_sources\connectors.py                                          | Python       |        128 |          8 |         32 |        168 |
| d:\Luann_Project\luann\data_sources\connectors_helper.py                                   | Python       |         75 |          2 |         21 |         98 |
| d:\Luann_Project\luann\embeddings.py                                                       | Python       |        151 |         34 |         54 |        239 |
| d:\Luann_Project\luann\errors.py                                                           | Python       |         96 |          2 |         56 |        154 |
| d:\Luann_Project\luann\functions\__init__.py                                               | Python       |          0 |          0 |          1 |          1 |
| d:\Luann_Project\luann\functions\function_sets\ast_parsers.py                              | Python       |         79 |          6 |         21 |        106 |
