bacterium,promoter,strain,relative,std
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7385263315448595,0.11263362081322283
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5198654293725781,0.052219406174542335
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.8991600936489097,0.04219772738327201
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.9395330821680553,0.11663784985614804
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.74260119380453,0.09436796964107025
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7087384471814757,0.05354720745349819
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,1.0,0.03790490653282071
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",1.0340068141010497,0.06928207176309742
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,1.4478087119345087,0.3155066700537847
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,0.9518627943719575,0.05791124876604544
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",1.6403875910693444,0.13159966415989643
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,1.3325140304270369,0.2743405993431257
