name,context_length,max_output_tokens,text_generation,tool,text_input,image_input,audio_input,text_output,image_output,audio_output,remarks
moondream:latest,2048,,TRUE,,TRUE,TRUE,,TRUE,,,
llama3:8b,8192,2048,TRUE,,TRUE,,,TRUE,,,https://www.prompthub.us/resources/llm-model-card-directory
llava-llama3:latest,8192,,TRUE,,TRUE,TRUE,,TRUE,,,
qwen2.5:14b,32768,8192,TRUE,TRUE,TRUE,,,TRUE,,,https://huggingface.co/Qwen/Qwen2.5-7B?form=MG0AV3
qwen2.5-coder:7b,32768,8192,TRUE,TRUE,TRUE,,,TRUE,,,https://huggingface.co/Qwen/Qwen2.5-7B?form=MG0AV4
qwen2.5-coder:3b,32768,8192,TRUE,TRUE,TRUE,,,TRUE,,,https://huggingface.co/Qwen/Qwen2.5-7B?form=MG0AV5
qwen2.5:7b,32768,,TRUE,TRUE,TRUE,,,TRUE,,,https://huggingface.co/Qwen/Qwen2.5-7B?form=MG0AV6
llava:7b,32768,4096,TRUE,,TRUE,TRUE,,TRUE,,,https://huggingface.co/liuhaotian/llava-v1.5-7b/blob/main/config.json
llama3.2:3b,131072,,TRUE,TRUE,TRUE,,,TRUE,,,
llama3.2:1b,131072,2048,TRUE,TRUE,TRUE,,,TRUE,,,https://www.prompthub.us/resources/llm-model-card-directory
llama3.2-vision:11b,131072,,TRUE,,TRUE,TRUE,,TRUE,,,
mistral-nemo:latest,128000,4096,TRUE,TRUE,TRUE,,,TRUE,,,Context-length=1024000
