bacterium,promoter,strain,mhYFP_by_A600,mhYFP_by_A600_std
Escherichia coli K12 MG1655,None,WT,,
Escherichia coli K12 MG1655,None,ΔtopA::cat,,
Escherichia coli K12 MG1655,None,"ΔlacIZYA::FRT
ΔtopA::cat",,
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,15849.636165623038,2417.2488287208644
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,11156.918255581886,1120.6893421390646
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",19297.02399259288,905.6124304220349
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,64658.80416512695,9635.757055960099
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,ΔtopA::cat,67814.83777994507,3131.3362194393017
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",89638.42682391907,3241.724403061413
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,20163.475399421917,2503.1842527448493
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,15937.087460833742,2025.24665758471
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",15210.353435763316,1149.1855057459554
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,704.2967819426461,78.77171364086924
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,ΔtopA::cat,1252.508374733913,193.3439707067668
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1842.8312121333975,227.94002265519345
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,787.497289532137,137.34982344285027
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,ΔtopA::cat,1352.5094994881874,216.42701198552388
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1324.4405451364785,174.35729673191025
